,index,open,high,low,close,adjclose,volume,ticker,RSI,MACD,Signal,ma-10,ma-20,ma-30,ma-40,ma-50,ma-60,ma-70,ma-80,ma-90,ma-100,vma-10,major_trend,days_to_10,days_to_10_percent_high
1243,2023-01-09,178.25999450683594,178.3300018310547,174.3800048828125,175.17999267578125,170.32412719726562,8385600,CVX,59.37316792804728,-0.1269475178064567,-0.3324029689839961,176.49300079345704,173.88150024414062,175.40599975585937,177.69950065612792,178.4182000732422,176.76100006103516,173.64842856270926,170.85087490081787,169.47611100938585,168.62619995117188,6180360.0,1,1000,
1244,2023-01-10,176.39999389648438,176.7100067138672,173.72000122070312,176.0399932861328,171.1602783203125,8307000,CVX,59.01637147447795,-0.0640418677246259,-0.2787307487321221,176.35700073242188,174.28349990844723,175.15066630045573,177.5680004119873,178.38100006103517,176.94033330281576,174.095142691476,171.0436248779297,169.67588873969183,168.80959991455077,6403150.0,1,1000,
1245,2023-01-11,177.88999938964844,178.13999938964844,174.3000030517578,175.1999969482422,170.34356689453125,6962600,CVX,53.92734718008675,-0.0810352472617808,-0.2391916484380538,175.91399993896485,174.55599975585938,175.0453328450521,177.28650016784667,178.28540008544925,177.19133326212565,174.54557124546596,171.2779998779297,169.8943332248264,168.9713998413086,6582610.0,1,1000,
1246,2023-01-12,175.99000549316406,178.3699951171875,175.89999389648438,177.0800018310547,172.1714630126953,6891400,CVX,53.71179475756822,0.0565462294763676,-0.1800440728551695,175.92400054931642,174.73349990844727,174.91366628011068,177.0497501373291,178.2090002441406,177.45416666666668,174.9077141898019,171.53024997711182,170.10799984402126,169.16529983520508,6822310.0,1,1000,
1247,2023-01-13,177.08999633789062,177.99000549316406,175.67999267578125,177.55999755859375,172.6381378173828,5726300,CVX,59.15773809068465,0.2019838407474878,-0.103638490134638,175.8479995727539,174.99499969482423,174.721999613444,176.7875,178.11580017089844,177.70149993896484,175.1924283708845,171.79624996185302,170.33511098225912,169.37189987182617,6980730.0,1,1000,
1248,2023-01-17,178.44000244140625,181.32000732421875,178.17999267578125,180.4900054931641,175.4869384765625,10697700,CVX,55.612071550468926,0.547361703723368,0.0265615486369631,175.9479995727539,175.46750030517578,174.65533294677735,176.675,178.15560028076172,177.90966669718424,175.50614275251115,172.11475009918212,170.6171110365126,169.55689987182618,7549990.0,1,1000,
1249,2023-01-18,180.82000732421875,182.3800048828125,176.94000244140625,177.22999572753906,172.31729125976562,8899200,CVX,45.79830967494448,0.551661396219032,0.1315815181533769,176.2719985961914,175.89300003051758,174.5286661783854,176.5034999847412,178.07760009765624,178.0474998474121,175.73199986049107,172.39400005340576,170.85355546739368,169.6972998046875,7683370.0,1,1000,
1250,2023-01-19,176.61000061035156,179.9499969482422,176.16000366210938,179.0,174.03822326660156,5907200,CVX,53.64884657937344,0.6899402836274078,0.2432532712481831,176.95799865722657,176.34899978637696,174.60999959309896,176.40374984741212,177.98920013427735,178.14433314005535,176.00299987792968,172.821875,171.06499989827475,169.84109985351563,7505640.0,1,1000,
1251,2023-01-20,178.80999755859375,181.3600006103516,177.52000427246094,180.8999938964844,175.88555908203125,10477900,CVX,54.567961537505575,0.9419823406198587,0.3829990851225183,177.52399749755858,176.7604995727539,174.90633290608724,176.3952495574951,177.895,178.27383295694986,176.34242837088448,173.32112483978273,171.26944427490236,170.01599975585938,7944610.0,1,1000,
1252,2023-01-23,181.2100067138672,182.5500030517578,180.02999877929688,180.66000366210935,175.6522216796875,8381300,CVX,52.14206814322805,1.109571827081254,0.5283136335142655,177.93399810791016,177.05849990844726,175.17766621907552,176.26449966430664,177.80140014648438,178.36933314005535,176.6779998779297,173.8166248321533,171.50555538601344,170.17629974365235,8063620.0,1,1000,
